"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,90.6,90.6,9.4,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Mit 90,6 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Aeugst am Albis das CO2-Gesetz angenommen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants d'Aeugst am Albis acceptent la loi CO2 avec 90,6 pour cent de oui. Aeugst am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Aeugst am Albis la legge sul CO2 è stata accetata con il 90,6 percento dei voti. Il comune di Aeugst am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
2,61.5,61.5,38.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","61,5 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zum CO2-Gesetz. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 61,5 pour cent à la loi CO2 à Affoltern am Albis. Affoltern am Albis a approuvé la loi, contrairement à son canton.","Con il 61,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto la legge sul CO2. Il comune di Affoltern am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
4,94,94,6,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","94 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für das CO2-Gesetz ausgesprochen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Hausen am Albis, les habitants disent oui à 94 pour cent à la loi CO2. Hausen am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Hausen am Albis la legge sul CO2 è stata approvata con il 94 percento dei voti. Il comune di Hausen am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
5,26.5,26.5,73.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","73,5 der Stimmbürgerinnen und Stimmbürger von Hedingen haben das CO2-Gesetz abgelehnt. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Hedingen s'opposent à la loi CO2 avec 73,5 pour cent de non. Hedingen a rejeté la loi, tout comme son canton.","No alla legge sul CO2 nel comune di Hedingen: i cittadini hanno bocciato il testo con il 73,5 percento dei voti. Il comune di Hedingen bocciando la legge si è espresso come il suo cantone."
6,87.8,87.8,12.2,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","87,8 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zum CO2-Gesetz. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 87,8 pour cent à la loi CO2 à Kappel am Albis. Kappel am Albis a approuvé la loi, contrairement à son canton.","Con il 87,8 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto la legge sul CO2. Il comune di Kappel am Albis approvando la legge è andato controcorrente rispetto al suo cantone."
3,85.9,85.9,14.1,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","85,9 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zum CO2-Gesetz. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 85,9 pour cent à la loi CO2 à Bonstetten. Bonstetten a approuvé la loi, contrairement à son canton.","Con il 85,9 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto la legge sul CO2. Il comune di Bonstetten approvando la legge è andato controcorrente rispetto al suo cantone."
8,46.8,46.8,53.2,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 6'012 Nein zu 5'295 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden das CO2-Gesetz abgelehnt. Das sind 53,2 Prozent. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Maschwanden, les habitants sont défavorables à la loi CO2 avec 53,2 pour cent de non. Maschwanden a rejeté la loi, tout comme son canton.","Con il 53,2 percento di ""no"", i cittadini del comune di Maschwanden hanno respinto la legge sul CO2. Il comune di Maschwanden bocciando la legge si è espresso come il suo cantone."
9,31.5,31.5,68.5,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","68,5 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich gegen das CO2-Gesetz ausgesprochen. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Mettmenstetten, les habitants disent non à 68,5 pour cent à la loi CO2. Mettmenstetten a rejeté la loi, tout comme son canton.","I cittadini di Mettmenstetten si sono espressi contro la legge sul CO2. Il testo è stato respinto con il 68,5 percento dei voti. Il comune di Mettmenstetten bocciando la legge si è espresso come il suo cantone."
10,34.4,34.4,65.6,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","65,6 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich gegen das CO2-Gesetz ausgesprochen. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Obfelden, les habitants disent non à 65,6 pour cent à la loi CO2. Obfelden a rejeté la loi, tout comme son canton.","I cittadini di Obfelden si sono espressi contro la legge sul CO2. Il testo è stato respinto con il 65,6 percento dei voti. Il comune di Obfelden bocciando la legge si è espresso come il suo cantone."
11,46.9,46.9,53.1,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","53,1 der Stimmbürgerinnen und Stimmbürger von Ottenbach haben das CO2-Gesetz abgelehnt. Ottenbach hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants d'Ottenbach s'opposent à la loi CO2 avec 53,1 pour cent de non. Ottenbach a rejeté la loi, tout comme son canton.","No alla legge sul CO2 nel comune di Ottenbach: i cittadini hanno bocciato il testo con il 53,1 percento dei voti. Il comune di Ottenbach bocciando la legge si è espresso come il suo cantone."
