"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",55.6,44.4,100,162,44,"44/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",54,46,100,80,38,"38/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",20.9,79.1,0,30,5,"5/30"
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7"
7,"Nidwalden","Nidwald","Nidvaldo",43.4,56.6,0,11,4,"4/11"
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3"
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",56,44,100,128,31,"31/128"
11,"Solothurn","Soleure","Soletta",55.6,44.4,100,107,57,"57/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",57.9,42.1,100,86,43,"43/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",43,57,0,20,5,"5/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",46.6,53.4,0,77,16,"16/77"
18,"Graubünden","Grisons","Grigioni",56,44,100,101,81,"81/101"
19,"Aargau","Argovie","Argovia",54.5,45.5,100,210,39,"39/210"
20,"Thurgau","Thurgovie","Turgovia",47.1,52.9,0,80,28,"28/80"
21,"Tessin","Tessin","Ticino",70.3,29.7,100,107,3,"3/107"
22,"Waadt","Vaud","Vaud",69,31,100,308,233,"233/308"
23,"Wallis","Valais","Vallese",57.4,42.6,100,122,67,"67/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",0,0,50,53,0,"0/53"
