"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2008,11.3,11.3,88.7,"Châtillon FR","Châtillon (FR)","Châtillon FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2011,32.9,32.9,67.1,"Cugy FR","Cugy (FR)","Cugy FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2016,67.6,67.6,32.4,"Fétigny FR","Fétigny (FR)","Fétigny FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2022,87.1,87.1,12.9,"Gletterens FR","Gletterens (FR)","Gletterens FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2025,82.6,82.6,17.4,"Lully FR","Lully (FR)","Lully FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2027,54.7,54.7,45.3,"Ménières FR","Ménières (FR)","Ménières FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2029,11.2,11.2,88.8,"Montagny FR","Montagny (FR)","Montagny FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2035,9.2,9.2,90.8,"Nuvilly FR","Nuvilly (FR)","Nuvilly FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2038,57,57,43,"Prévondavaux FR","Prévondavaux (FR)","Prévondavaux FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2041,56.3,56.3,43.7,"Saint-Aubin FR","Saint-Aubin (FR)","Saint-Aubin FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2043,29.1,29.1,70.9,"Sévaz FR","Sévaz (FR)","Sévaz FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2044,32.5,32.5,67.5,"Surpierre FR","Surpierre (FR)","Surpierre FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2045,38.3,38.3,61.7,"Vallon FR","Vallon (FR)","Vallon FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2050,43,43,57,"Les Montets FR","Les Montets (FR)","Les Montets FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2051,17.3,17.3,82.7,"Delley-Portalban FR","Delley-Portalban (FR)","Delley-Portalban FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2053,41.5,41.5,58.5,"Belmont-Broye FR","Belmont-Broye (FR)","Belmont-Broye FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2054,78.1,78.1,21.9,"Estavayer FR","Estavayer (FR)","Estavayer FR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
