"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",54.7,45.3,100,162,160,"160/162"
2,"Bern","Berne","Berna",48.5,51.5,48.5,334,334,
3,"Luzern","Lucerne","Lucerna",48,52,48,80,80,
4,"Uri","Uri","Uri",35,65,35,19,19,
5,"Schwyz","Schwyz","Svitto",34.5,65.5,34.5,30,30,
6,"Obwalden","Obwald","Obvaldo",36.2,63.8,36.2,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",38.2,61.8,38.2,11,11,
8,"Glarus","Glaris","Glarona",39.9,60.1,39.9,3,3,
9,"Zug","Zoug","Zugo",47.7,52.3,47.7,11,11,
10,"Freiburg","Fribourg","Friburgo",44.4,55.6,44.4,128,128,
11,"Solothurn","Soleure","Soletta",43.9,56.1,43.9,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",66.6,33.4,66.6,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",47,53,47,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",46.5,53.5,46.5,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",42.5,57.5,42.5,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",35.1,64.9,35.1,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",42.9,57.1,42.9,77,77,
18,"Graubünden","Grisons","Grigioni",46.6,53.4,46.6,101,101,
19,"Aargau","Argovie","Argovia",44,56,44,210,210,
20,"Thurgau","Thurgovie","Turgovia",40.5,59.5,40.5,80,80,
21,"Tessin","Tessin","Ticino",44.5,55.5,44.5,107,107,
22,"Waadt","Vaud","Vaud",53.2,46.8,53.2,308,308,
23,"Wallis","Valais","Vallese",39.1,60.9,39.1,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",52.6,47.4,52.6,27,27,
25,"Genf","Genève","Ginevra",61.4,38.6,61.4,45,45,
26,"Jura","Jura","Giura",41.8,58.2,41.8,53,53,
