"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,24.7,24.7,75.3,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE","NA NA","Les habitants d'Aire-la-Ville rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 75,3 pour cent de non. Aire-la-Ville a rejeté le texte, contrairement au canton.","NA NA"
6602,32.6,32.6,67.4,"Anières GE","Anières (GE)","Anières GE","NA NA","Les habitants d'Anières rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 67,4 pour cent de non. Anières a rejeté le texte, contrairement au canton.","NA NA"
6603,82.6,82.6,17.4,"Avully GE","Avully (GE)","Avully GE","NA NA","Les habitants d'Avully approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 82,6 pour cent de oui. Avully a approuvé le texte, tout comme le canton.","NA NA"
6604,53.6,53.6,46.4,"Avusy GE","Avusy (GE)","Avusy GE","NA NA","A Avusy, les habitants disent oui à 53,6 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Avusy a approuvé le texte, tout comme le canton.","NA NA"
6605,8.4,8.4,91.6,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE","NA NA","Les habitants de Bardonnex s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 91,6 pour cent de non. Bardonnex a rejeté le texte, contrairement au canton.","NA NA"
6606,71.5,71.5,28.5,"Bellevue GE","Bellevue (GE)","Bellevue GE","NA NA","Les habitants de Bellevue approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 71,5 pour cent de oui. Bellevue a approuvé le texte, tout comme le canton.","NA NA"
6607,39.7,39.7,60.3,"Bernex GE","Bernex (GE)","Bernex GE","NA NA","Les habitants de Bernex s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 60,3 pour cent de non. Bernex a rejeté le texte, contrairement au canton.","NA NA"
6608,49.7,49.7,50.3,"CarouGE","Carouge (GE)","CarouGE GE","NA NA","Les habitants de Carouge (GE) rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 50,3 pour cent de non. Carouge (GE) a rejeté le texte, contrairement au canton.","NA NA"
6609,70.2,70.2,29.8,"Cartigny GE","Cartigny (GE)","Cartigny GE","NA NA","A Cartigny, les habitants disent oui à 70,2 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Cartigny a approuvé le texte, tout comme le canton.","NA NA"
6610,68.3,68.3,31.7,"Céligny GE","Céligny (GE)","Céligny GE","NA NA","Les habitants de Céligny acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 68,3 pour cent de oui. Céligny a approuvé le texte, tout comme le canton.","NA NA"
6611,49.3,49.3,50.7,"Chancy GE","Chancy (GE)","Chancy GE","NA NA","Les habitants de Chancy rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 50,7 pour cent de non. Chancy a rejeté le texte, contrairement au canton.","NA NA"
6612,50.1,50.1,49.9,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE","NA NA","Les habitants de Chêne-Bougeries acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 50,1 pour cent de oui. Chêne-Bougeries a approuvé le texte, tout comme le canton.","NA NA"
6613,46.2,46.2,53.8,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE","NA NA","Les habitants de Chêne-Bourg rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 53,8 pour cent de non. Chêne-Bourg a rejeté le texte, contrairement au canton.","NA NA"
6614,40.2,40.2,59.8,"Choulex GE","Choulex (GE)","Choulex GE","NA NA","A Choulex, les habitants disent non à 59,8 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Choulex a rejeté le texte, contrairement au canton.","NA NA"
6615,12.9,12.9,87.1,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE","NA NA","A Collex-Bossy, les habitants disent non à 87,1 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Collex-Bossy a rejeté le texte, contrairement au canton.","NA NA"
6616,24.7,24.7,75.3,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE","NA NA","Les habitants de Collonge-Bellerive rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 75,3 pour cent de non. Collonge-Bellerive a rejeté le texte, contrairement au canton.","NA NA"
6617,67,67,33,"Cologny GE","Cologny (GE)","Cologny GE","NA NA","A Cologny, les habitants disent oui à 67 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Cologny a approuvé le texte, tout comme le canton.","NA NA"
6618,95.9,95.9,4.1,"Confignon GE","Confignon (GE)","Confignon GE","NA NA","Les habitants de Confignon approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 95,9 pour cent de oui. C'est à Confignon que la plus forte acceptation de cet objet a été enregistrée.","NA NA"
6619,5.2,5.2,94.8,"Corsier GE","Corsier (GE)","Corsier GE","NA NA","Les habitants de Corsier (GE) s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 94,8 pour cent de non. Corsier (GE) a rejeté le texte, contrairement au canton.","NA NA"
6620,51.6,51.6,48.4,"Dardagny GE","Dardagny (GE)","Dardagny GE","NA NA","Les habitants de Dardagny approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 51,6 pour cent de oui. Dardagny a approuvé le texte, tout comme le canton.","NA NA"
6621,50.7,50.7,49.3,"Genf GE","Genève (GE)","Ginevra GE","NA NA","Les habitants de Genève acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 50,7 pour cent de oui. Genève a approuvé le texte, tout comme le canton.","NA NA"
6622,49.2,49.2,50.8,"Genthod GE","Genthod (GE)","Genthod GE","NA NA","Les habitants de Genthod s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 50,8 pour cent de non. Genthod a rejeté le texte, contrairement au canton.","NA NA"
6623,79,79,21,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","Le Grand-Saconnex GE","NA NA","Les habitants du Grand-Saconnex approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 79 pour cent de oui. Le Grand-Saconnex a approuvé le texte, tout comme le canton.","NA NA"
6624,37.9,37.9,62.1,"Gy GE","Gy (GE)","Gy GE","NA NA","Les habitants de Gy rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 62,1 pour cent de non. Gy a rejeté le texte, contrairement au canton.","NA NA"
6625,44.6,44.6,55.4,"Hermance GE","Hermance (GE)","Hermance GE","NA NA","A Hermance, les habitants disent non à 55,4 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Hermance a rejeté le texte, contrairement au canton.","NA NA"
6626,60.2,60.2,39.8,"Jussy GE","Jussy (GE)","Jussy GE","NA NA","A Jussy, les habitants disent oui à 60,2 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Jussy a approuvé le texte, tout comme le canton.","NA NA"
6627,39.9,39.9,60.1,"Laconnex GE","Laconnex (GE)","Laconnex GE","NA NA","A Laconnex, les habitants disent non à 60,1 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Laconnex a rejeté le texte, contrairement au canton.","NA NA"
6628,36.9,36.9,63.1,"Lancy GE","Lancy (GE)","Lancy GE","NA NA","Les habitants de Lancy rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 63,1 pour cent de non. Lancy a rejeté le texte, contrairement au canton.","NA NA"
6629,52.4,52.4,47.6,"Meinier GE","Meinier (GE)","Meinier GE","NA NA","Les habitants de Meinier acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 52,4 pour cent de oui. Meinier a approuvé le texte, tout comme le canton.","NA NA"
6630,62.7,62.7,37.3,"Meyrin GE","Meyrin (GE)","Meyrin GE","NA NA","Les habitants de Meyrin approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 62,7 pour cent de oui. Meyrin a approuvé le texte, tout comme le canton.","NA NA"
6631,39.4,39.4,60.6,"Onex GE","Onex (GE)","Onex GE","NA NA","Les habitants d'Onex rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 60,6 pour cent de non. Onex a rejeté le texte, contrairement au canton.","NA NA"
6632,58,58,42,"Perly-Certoux GE","Perly-Certoux (GE)","Perly-Certoux GE","NA NA","Les habitants de Perly-Certoux acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 58 pour cent de oui. Perly-Certoux a approuvé le texte, tout comme le canton.","NA NA"
